City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Cherskiy,RU,68.75,161.3,-36.2,83,0,0.25,clear sky
131,Husavik,IS,66.0449,-17.3389,24.8,80,90,12.66,light snow
132,Bowen,AU,-20.0167,148.2333,86.0,62,41,17.27,scattered clouds
133,Homer,US,59.6425,-151.5483,27.0,74,75,5.57,broken clouds
134,Krasnaya Poyma,RU,55.0014,39.08,16.79,96,64,10.92,light snow
135,Antalaha,MG,-14.9003,50.2788,84.16,65,8,0.96,clear sky
136,Cap Malheureux,MU,-19.9842,57.6142,87.01,66,0,7.0,clear sky
137,Bagdarin,RU,54.4333,113.6,-17.66,78,65,1.79,broken clouds
138,Manzanillo,CU,20.3433,-77.1167,66.24,75,0,14.27,clear sky
139,Klang,MY,3.0333,101.45,91.0,51,20,2.3,few clouds
140,Buala,SB,-8.145,159.5921,84.09,78,91,11.54,moderate rain
141,Hofn,IS,64.2539,-15.2082,33.71,77,73,7.96,broken clouds
142,Leo,BF,11.1,-2.1,69.17,22,58,8.81,broken clouds
143,Castro,BR,-24.7911,-50.0119,62.76,94,100,3.22,overcast clouds
144,Northam,GB,51.0333,-4.2167,48.0,95,100,3.0,overcast clouds
145,Jalu,LY,29.0331,21.5482,53.83,71,0,11.21,clear sky
146,Fort Nelson,CA,58.8053,-122.7002,-18.4,76,40,2.3,scattered clouds
147,Bengkulu,ID,-3.8004,102.2655,85.53,65,100,9.75,overcast clouds
148,Wanning,CN,18.8003,110.3967,71.24,79,64,13.0,broken clouds
149,Yellowknife,CA,62.456,-114.3525,-20.0,76,20,5.75,few clouds
150,Shahr-E Kord,IR,32.3256,50.8644,39.2,87,75,6.91,broken clouds
151,Maniitsoq,GL,65.4167,-52.9,17.53,76,0,9.19,clear sky
152,Calama,CL,-22.4667,-68.9333,48.2,21,0,14.97,clear sky
153,Constitucion,CL,-35.3333,-72.4167,60.42,94,100,10.16,overcast clouds
154,Kaminoyama,JP,38.1539,140.2736,30.0,86,75,9.22,light snow
155,Aleksandrov Gay,RU,50.147,48.5704,25.29,95,98,9.26,overcast clouds
156,Ouargaye,BF,11.5033,0.0572,69.78,22,5,11.27,clear sky
157,Pisco,PE,-13.7,-76.2167,69.8,78,0,5.75,clear sky
158,Maragogi,BR,-9.0122,-35.2225,77.11,81,99,10.18,overcast clouds
159,Mayumba,GA,-3.432,10.6554,77.54,84,100,2.62,overcast clouds
160,Yumen,CN,40.2833,97.2,32.18,67,0,27.0,clear sky
161,Quatre Cocos,MU,-20.2078,57.7625,87.01,70,75,12.66,broken clouds
162,Paamiut,GL,61.994,-49.6678,34.65,80,100,8.41,overcast clouds
163,Hami,CN,42.8,93.45,31.66,75,4,3.15,clear sky
164,Nishihara,JP,26.1842,127.7558,66.2,31,40,12.66,scattered clouds
165,Tasiilaq,GL,65.6145,-37.6368,15.8,48,75,16.11,broken clouds
166,Hokitika,NZ,-42.7167,170.9667,60.93,65,0,8.41,clear sky
167,Buraydah,SA,26.326,43.975,53.6,66,0,8.05,clear sky
168,Kameshkovo,RU,56.3481,41.0047,25.79,98,98,7.56,overcast clouds
169,Rio Brilhante,BR,-21.8019,-54.5464,71.46,89,100,4.61,overcast clouds
170,Rio Grande,BR,-32.035,-52.0986,73.0,97,89,5.93,overcast clouds
171,Sri Aman,MY,1.2376,111.4621,82.4,89,40,5.75,scattered clouds
172,Morant Bay,JM,17.8815,-76.4093,78.8,69,20,8.05,few clouds
173,Bocas Del Toro,PA,9.3333,-82.25,74.44,79,51,9.75,broken clouds
174,Kaitangata,NZ,-46.2817,169.8464,57.99,68,19,5.01,few clouds
175,Bethel,US,41.3712,-73.414,10.99,56,1,5.75,clear sky
176,Santa Cruz De La Palma,ES,28.6835,-17.7642,64.4,82,90,8.05,overcast clouds
177,Khasan,RU,42.4308,130.6434,18.99,88,64,7.52,broken clouds
178,Makakilo City,US,21.3469,-158.0858,75.2,68,1,8.05,clear sky
179,Allapalli,IN,19.4167,80.0667,86.76,41,1,3.49,clear sky
180,Jumla,NP,29.2747,82.1838,49.3,27,0,3.53,clear sky
181,Souillac,MU,-20.5167,57.5167,86.0,70,75,12.66,broken clouds
182,Khandagayty,RU,50.7333,92.05,19.02,88,86,4.12,overcast clouds
183,Ribeira Grande,PT,38.5167,-28.7,62.71,93,98,22.64,overcast clouds
184,Provideniya,RU,64.3833,-173.3,-8.46,83,1,5.41,clear sky
185,Thompson,CA,55.7435,-97.8558,10.4,85,90,2.3,light snow
186,Canandaigua,US,42.8742,-77.288,14.0,80,100,5.01,overcast clouds
187,Innisfail,AU,-17.5333,146.0333,79.0,73,90,5.01,overcast clouds
188,Lukovetskiy,RU,64.2956,41.9211,19.4,86,90,8.95,light snow
189,Gamboma,CG,-1.8764,15.8644,74.03,87,100,2.35,overcast clouds
190,Panzhihua,CN,26.5851,101.7128,66.0,17,0,1.01,clear sky
191,New Norfolk,AU,-42.7826,147.0587,72.0,61,84,3.0,broken clouds
192,Kysyl-Syr,RU,63.8986,122.7617,-40.2,77,100,1.86,overcast clouds
193,Aras,ES,42.5617,-2.356,48.2,87,40,4.61,scattered clouds
194,Hamilton,US,39.1834,-84.5333,25.0,86,1,4.23,clear sky
195,Ciro Marina,IT,39.3732,17.126,33.8,93,90,11.5,fog
196,Rovaniemi,FI,66.5,25.7167,8.6,85,75,8.05,light snow
197,Marsh Harbour,BS,26.5412,-77.0636,64.35,66,48,13.62,scattered clouds
198,Melfi,IT,40.9965,15.6514,45.0,75,2,3.0,clear sky
199,Riberalta,BO,-10.9833,-66.1,71.85,97,95,2.24,overcast clouds
200,Skibbereen,IE,51.55,-9.2667,44.6,93,75,13.8,light intensity drizzle
201,Khatanga,RU,71.9667,102.5,-42.99,75,16,3.18,few clouds
202,Karratha,AU,-20.7377,116.8463,91.99,49,28,14.52,scattered clouds
203,Barcelona,ES,41.3888,2.159,57.0,93,0,8.05,clear sky
204,Matata,NZ,-37.8833,176.75,68.0,55,36,1.01,scattered clouds
205,Beira,MZ,-19.8436,34.8389,82.4,89,40,3.44,scattered clouds
206,Zile,TR,40.3031,35.8864,30.2,69,40,4.5,scattered clouds
207,Bouca,CF,6.5105,18.2733,71.08,32,20,4.0,few clouds
208,Salinopolis,BR,-0.6136,-47.3561,79.81,82,82,12.57,broken clouds
209,Maneadero,MX,31.7167,-116.5667,53.01,90,56,1.99,broken clouds
210,Bandarbeyla,SO,9.4942,50.8122,75.88,66,31,13.76,scattered clouds
211,Pathein,MM,16.7833,94.7333,90.9,43,7,8.57,clear sky
212,Vila,PT,42.0304,-8.1588,46.99,94,87,15.05,overcast clouds
213,Severo-Kurilsk,RU,50.6789,156.125,25.12,92,100,25.01,overcast clouds
214,Aquiraz,BR,-3.9014,-38.3911,80.6,83,40,14.97,scattered clouds
215,Margate,GB,51.3813,1.3862,46.99,90,100,4.0,moderate rain
216,Sydney,AU,-33.8679,151.2073,84.2,61,20,14.97,few clouds
217,Wad Rawah,SD,15.1603,33.1397,65.91,27,3,18.77,clear sky
218,Port Elizabeth,ZA,-33.918,25.5701,64.4,72,0,2.3,clear sky
219,Khonsa,IN,27.0167,95.5667,60.37,78,0,2.64,clear sky
220,Soyo,AO,-6.1349,12.3689,78.26,88,100,4.79,overcast clouds
221,Oum Hadjer,TD,13.2954,19.6966,65.62,27,8,8.14,clear sky
222,Nantucket,US,41.2835,-70.0995,21.99,79,90,20.71,overcast clouds
223,Malakal,SS,9.5334,31.6605,76.14,17,1,14.03,clear sky
224,Hasaki,JP,35.7333,140.8333,50.0,23,20,13.8,few clouds
225,Port-Gentil,GA,-0.7193,8.7815,77.0,94,90,1.14,overcast clouds
226,Callaway,US,30.153,-85.5699,42.8,87,1,5.59,clear sky
227,Saint-Augustin,CA,51.226,-58.6502,13.33,91,66,15.12,broken clouds
228,Chokurdakh,RU,70.6333,147.9167,-29.07,85,100,8.16,overcast clouds
229,Gobabis,NA,-22.45,18.9667,73.4,61,85,8.01,overcast clouds
230,Mercedes,AR,-34.6515,-59.4307,66.99,76,6,7.63,clear sky
231,Mount Gambier,AU,-37.8333,140.7667,64.4,72,90,13.8,overcast clouds
232,Gravdal,NO,68.1214,13.5031,26.37,89,32,7.18,scattered clouds
233,Inirida,CO,3.8653,-67.9239,74.68,80,92,1.48,overcast clouds
234,Naze,JP,28.3667,129.4833,60.8,44,20,11.5,few clouds
235,Gat,IL,31.61,34.7642,48.0,13,51,1.99,broken clouds
236,Corralillo,CU,22.9819,-80.5856,69.08,66,82,14.92,light rain
237,Jamestown,US,42.097,-79.2353,19.99,79,90,4.61,light snow
238,Grand Gaube,MU,-20.0064,57.6608,87.01,66,1,7.0,clear sky
239,Takoradi,GH,4.8845,-1.7554,77.77,84,11,6.22,few clouds
240,Ancud,CL,-41.8697,-73.8203,50.0,81,0,4.61,clear sky
241,Mankono,CI,8.0586,-6.1897,69.6,81,8,1.72,clear sky
242,Berberati,CF,4.2612,15.7922,68.0,94,0,2.06,clear sky
243,Gualaquiza,EC,-3.4,-78.55,62.28,89,70,1.39,light rain
244,Verkhnyaya Inta,RU,65.9811,60.3094,-2.58,85,100,17.18,overcast clouds
245,Vestmanna,FO,62.1564,-7.1664,30.2,80,75,2.3,broken clouds
246,Salalah,OM,17.0151,54.0924,75.2,50,40,6.91,scattered clouds
247,Atbasar,KZ,51.8,68.3333,17.8,94,44,9.06,scattered clouds
248,Port Hedland,AU,-20.3167,118.5667,95.0,52,75,17.27,broken clouds
249,Velen,DE,51.9,6.9833,33.01,70,100,5.01,overcast clouds
250,Gazojak,TM,41.1875,61.4036,47.28,48,100,3.8,overcast clouds
251,Batagay,RU,67.6333,134.6333,-42.86,77,100,1.05,overcast clouds
252,Ekuvukeni,ZA,-28.4675,30.1551,69.87,86,92,0.72,light rain
253,Hualmay,PE,-11.0964,-77.6139,70.47,74,98,5.66,overcast clouds
254,La Ronge,CA,55.1001,-105.2842,8.6,85,75,3.44,broken clouds
255,Cabedelo,BR,-6.9811,-34.8339,77.0,88,75,6.91,broken clouds
256,Floro,NO,61.5996,5.0328,32.0,93,90,12.66,light snow
257,Torbay,CA,47.6666,-52.7314,28.99,86,90,18.41,light snow
258,Lorengau,PG,-2.0226,147.2712,82.74,81,100,10.0,overcast clouds
259,Lompoc,US,34.6391,-120.4579,42.01,93,1,1.88,clear sky
260,Codrington,AU,-38.2667,141.9667,62.73,71,94,11.83,overcast clouds
261,Pulandian,CN,39.3953,121.9669,33.8,64,0,13.42,clear sky
262,Tawau,MY,4.2498,117.8871,82.4,89,40,2.3,moderate rain
263,Gaogou,CN,34.0175,119.1886,55.81,39,54,7.29,broken clouds
264,Kharp,RU,66.8014,65.8081,-35.3,80,97,3.06,overcast clouds
265,Airai,TL,-8.9266,125.4092,68.97,89,100,6.13,moderate rain
266,Vardo,NO,70.3705,31.1107,26.28,97,100,22.57,light snow
267,Yerbogachen,RU,61.2767,108.0108,-36.17,80,55,7.52,broken clouds
268,Kurumkan,RU,54.3,110.3,-14.28,82,100,2.24,overcast clouds
269,Leh,IN,34.1667,77.5833,7.52,66,0,1.72,clear sky
270,Pedernales,DO,18.0384,-71.744,74.28,66,2,2.35,clear sky
271,Vresina,CZ,49.8242,18.1257,39.2,87,20,14.97,few clouds
272,Kudahuvadhoo,MV,2.6708,72.8944,80.73,80,28,12.88,scattered clouds
273,Laguna,US,38.421,-121.4238,45.0,87,1,3.8,mist
274,San Patricio,US,28.017,-97.5169,66.2,82,90,12.66,overcast clouds
275,Lagos,NG,6.5833,3.75,76.48,93,76,3.06,broken clouds
276,Puerto Escondido,MX,15.85,-97.0667,78.8,78,40,3.44,scattered clouds
277,Khandyga,RU,62.6667,135.6,-45.58,76,77,0.94,broken clouds
278,Faya,SA,18.3851,42.4509,62.6,17,0,3.65,clear sky
279,Isangel,VU,-19.55,169.2667,86.0,62,20,9.22,few clouds
280,Grindavik,IS,63.8424,-22.4338,30.2,93,90,6.91,overcast clouds
281,Guerrero Negro,MX,27.9769,-114.0611,58.26,72,4,12.77,clear sky
282,Cabra,ES,37.4725,-4.4421,53.6,100,90,8.05,overcast clouds
283,Kloulklubed,PW,7.0419,134.2556,84.2,58,90,14.97,overcast clouds
284,Massafra,IT,40.5888,17.117,53.01,83,0,11.01,clear sky
285,Westport,US,41.1415,-73.3579,15.8,48,1,14.97,clear sky
286,Caucaia,BR,-3.7361,-38.6531,81.0,83,40,14.97,scattered clouds
287,Mkushi,ZM,-13.6202,29.3939,68.85,87,100,2.75,overcast clouds
288,Luderitz,NA,-26.6481,15.1594,68.0,44,0,22.66,clear sky
289,Ciudad Real,ES,39.0,-4.0,52.0,89,83,8.01,broken clouds
290,Marawi,PH,7.9986,124.2928,82.0,84,86,10.0,overcast clouds
291,Barranquilla,CO,10.9639,-74.7964,77.0,73,0,11.5,clear sky
292,Manakara,MG,-22.1333,48.0167,83.35,68,3,7.29,clear sky
293,Geraldton,AU,-28.7667,114.6,102.2,14,0,23.02,clear sky
294,Trincomalee,LK,8.5711,81.2335,80.33,81,22,13.94,few clouds
295,Forlev,DK,55.3833,11.2833,30.0,89,80,10.45,broken clouds
296,Nadym,RU,65.5333,72.5167,-39.15,79,18,5.55,few clouds
297,Maceio,BR,-9.6658,-35.7353,75.2,94,75,1.14,broken clouds
298,Valparaiso,CL,-33.0393,-71.6273,64.99,82,100,7.72,overcast clouds
299,Dali,CN,25.7,100.1833,59.09,35,1,11.01,clear sky
300,Matara,LK,5.9485,80.5353,86.45,60,61,4.54,broken clouds
301,Bonfim,BR,3.0833,-59.95,76.75,74,13,8.99,few clouds
302,Aykhal,RU,66.0,111.5,-35.45,80,99,8.88,overcast clouds
303,Parati,BR,-23.2178,-44.7131,76.98,75,93,3.94,overcast clouds
304,Ibra,OM,22.6906,58.5334,72.7,25,0,2.75,clear sky
305,Port Hardy,CA,50.6996,-127.4199,42.8,87,90,20.71,light rain
306,At-Bashi,KG,41.1702,75.8106,15.75,72,0,1.5,clear sky
307,Belyy Yar,RU,53.6039,91.3903,19.4,73,0,15.66,clear sky
308,Niquelandia,BR,-14.4739,-48.4597,69.06,87,100,1.03,overcast clouds
309,Faanui,PF,-16.4833,-151.75,81.45,66,100,5.91,overcast clouds
310,Tsaratanana,MG,-16.7833,47.65,81.14,65,55,2.21,broken clouds
311,Tilichiki,RU,60.4667,166.1,-2.04,94,100,14.2,overcast clouds
312,Dubbo,AU,-32.25,148.6167,91.4,29,64,9.22,broken clouds
313,Barabai,ID,-2.5833,115.3833,81.01,76,100,2.57,overcast clouds
314,Santa Marta,CO,11.2408,-74.199,73.99,82,20,16.96,few clouds
315,Dire,ML,12.2833,-10.9667,64.8,25,0,1.5,clear sky
316,Esperance,AU,-33.8667,121.9,80.6,32,0,12.66,clear sky
317,Saint-Joseph,RE,-21.3667,55.6167,87.8,55,0,11.5,clear sky
318,Leningradskiy,RU,69.3833,178.4167,-22.41,85,100,6.87,overcast clouds
319,Mayo,US,38.8876,-76.5119,30.2,47,90,5.75,overcast clouds
320,Bilibino,RU,68.0546,166.4372,-25.62,80,0,4.23,clear sky
321,Talgar,KZ,43.3027,77.2395,24.8,68,0,4.47,mist
322,Guarda,PT,40.5373,-7.2658,51.01,92,72,13.0,broken clouds
323,Saint-Leu,RE,-21.15,55.2833,84.99,57,2,4.61,clear sky
324,Mahajanga,MG,-15.7167,46.3167,80.6,74,20,4.61,few clouds
325,Thayetmyo,MM,19.3167,95.1833,94.77,20,0,6.24,clear sky
326,Lebu,CL,-37.6167,-73.65,54.1,91,24,6.2,few clouds
327,Ostersund,SE,63.1792,14.6357,-9.4,77,90,1.7,overcast clouds
328,Ilawe,NG,7.8667,4.4333,69.8,52,0,0.96,clear sky
329,Lata,PT,40.1629,-8.3327,55.99,97,66,5.01,broken clouds
330,Miragoane,HT,18.4423,-73.0876,75.76,74,2,9.08,clear sky
331,Dingle,PH,10.9995,122.6711,76.15,86,100,15.86,overcast clouds
332,Begles,FR,44.8084,-0.5481,53.6,100,75,11.5,moderate rain
333,Kununurra,AU,-15.7667,128.7333,82.4,94,75,14.97,broken clouds
334,Jackson,US,42.4165,-122.8345,41.0,81,90,2.73,overcast clouds
335,Adrar,MR,20.5022,-10.0711,60.1,28,8,9.46,clear sky
336,Sedalia,US,38.7045,-93.2283,43.0,61,1,8.05,clear sky
337,Bubaque,GW,11.2833,-15.8333,77.95,61,0,8.32,clear sky
338,Seydi,TM,39.4816,62.9137,53.04,41,100,11.25,overcast clouds
339,Isilkul,RU,54.9109,71.2728,14.0,95,47,8.25,scattered clouds
340,Coihaique,CL,-45.5752,-72.0662,41.0,87,0,3.44,clear sky
341,Verkhnevilyuysk,RU,63.4453,120.3167,-39.41,79,100,2.37,overcast clouds
342,Kruisfontein,ZA,-34.0033,24.7314,70.0,66,0,1.99,clear sky
343,Namatanai,PG,-3.6667,152.4333,83.77,77,73,13.06,light rain
344,Zhangjiakou,CN,40.81,114.8794,32.14,73,0,1.9,clear sky
345,Kavaratti,IN,10.5669,72.642,80.92,70,16,9.01,few clouds
346,Vallenar,CL,-28.5708,-70.7581,59.47,74,8,0.63,clear sky
347,Saldanha,ZA,-33.0117,17.9442,67.5,73,82,6.33,broken clouds
348,San Jeronimo,PE,-11.9472,-75.2829,45.73,79,100,5.19,overcast clouds
